"","term","estimate","std.error.x","statistic.x","p.value.x","std.error.y","statistic.y","p.value.y"
"1","(Intercept)",-1287882.97998725,178881.397867915,-7.19964733805475,1.19519035640303e-12,178881.397867915,-7.19964733805475,1.19519035640303e-12
"2","YearBuilt",692.98854385764,89.6190158540983,7.73260604630874,2.59102746099105e-14,89.6190158540983,7.73260604630874,2.59102746099105e-14
"3","BldgType2fmCon",-15076.8307762057,8750.02698569298,-1.72306106036674,0.0851906938783894,8750.02698569298,-1.72306106036674,0.0851906938783894
"4","BldgTypeDuplex",-40687.005033868,6878.05089888704,-5.91548472554218,4.55796596696437e-09,6878.05089888704,-5.91548472554218,4.55796596696437e-09
"5","BldgTypeTwnhs",-54308.4901264894,9054.16473494626,-5.99817782383343,2.79734821993048e-09,9054.16473494626,-5.99817782383343,2.79734821993048e-09
"6","BldgTypeTwnhsE",-31131.6309160653,6000.24214464109,-5.18839576230594,2.57407547613766e-07,6000.24214464109,-5.18839576230594,2.57407547613766e-07
"7","FullBath",5202.89045720769,3412.14852205664,1.52481359576684,0.127625942577404,3412.14852205664,1.52481359576684,0.127625942577404
"8","GrLivArea",73.8429277830854,4.96445208504365,14.8743358820103,2.64995968742428e-45,4.96445208504365,14.8743358820103,2.64995968742428e-45
"9","TotRmsAbvGrd",-2247.72646366919,1458.71340818761,-1.54089655380757,0.123662491813064,1458.71340818761,-1.54089655380757,0.123662491813064
"10","GarageArea",46.1752803653116,7.59739054372144,6.07778158824168,1.73858723744251e-09,7.59739054372144,6.07778158824168,1.73858723744251e-09
"11","NeighborhoodBlueste",-23384.496530128,29489.5495837904,-0.792975710384597,0.427982545646479,29489.5495837904,-0.792975710384597,0.427982545646479
"12","NeighborhoodBrDale",-17516.7249462349,18364.2662182571,-0.953848345370886,0.34039395466432,18364.2662182571,-0.953848345370886,0.34039395466432
"13","NeighborhoodBrkSide",-18847.0416578553,15546.060434266,-1.21233554555811,0.225674076041087,15546.060434266,-1.21233554555811,0.225674076041087
"14","NeighborhoodClearCr",-7674.40822232193,16018.0619373381,-0.479109660853094,0.631966745427469,16018.0619373381,-0.479109660853094,0.631966745427469
"15","NeighborhoodCollgCr",-25349.5406710266,13180.6905148869,-1.92323312973593,0.0547382060161607,13180.6905148869,-1.92323312973593,0.0547382060161607
"16","NeighborhoodCrawfor",12046.2607467981,14976.0568088566,0.804367992225707,0.421378178508596,14976.0568088566,0.804367992225707,0.421378178508596
"17","NeighborhoodEdwards",-37359.6720218924,14030.4176706869,-2.66276264176698,0.00787631725649534,14030.4176706869,-2.66276264176698,0.00787631725649534
"18","NeighborhoodGilbert",-40111.3192218864,13707.029411466,-2.92633203138333,0.00350846196091699,13707.029411466,-2.92633203138333,0.00350846196091699
"19","NeighborhoodIDOTRR",-35805.059990092,16000.4326256432,-2.23775574247341,0.0254594335740275,16000.4326256432,-2.23775574247341,0.0254594335740275
"20","NeighborhoodMeadowV",-30625.0223182247,16445.3628442895,-1.86222843534637,0.0628678860389468,16445.3628442895,-1.86222843534637,0.0628678860389468
"21","NeighborhoodMitchel",-27818.1114126887,14369.907860858,-1.93585871823591,0.0531702937355973,14369.907860858,-1.93585871823591,0.0531702937355973
"22","NeighborhoodNAmes",-30464.0753768101,13739.2994977962,-2.2172946576859,0.0268301348721121,13739.2994977962,-2.2172946576859,0.0268301348721121
"23","NeighborhoodNoRidge",30909.1243719996,15078.5572282381,2.04987280308988,0.0406406440970568,15078.5572282381,2.04987280308988,0.0406406440970568
"24","NeighborhoodNPkVill",-5633.8535515511,19838.701501429,-0.283982978984047,0.776482986533241,19838.701501429,-0.283982978984047,0.776482986533241
"25","NeighborhoodNridgHt",56178.1483629853,13358.1511810124,4.20553320603516,2.84144867011589e-05,13358.1511810124,4.20553320603516,2.84144867011589e-05
"26","NeighborhoodNWAmes",-34542.4622736351,14007.9447402933,-2.46591937033239,0.0138353266710818,14007.9447402933,-2.46591937033239,0.0138353266710818
"27","NeighborhoodOldTown",-32750.7258808438,15073.7729739954,-2.17269597580804,0.0300405419031631,15073.7729739954,-2.17269597580804,0.0300405419031631
"28","NeighborhoodSawyer",-33213.6338717504,14201.3871330466,-2.33875983807683,0.0195466575452321,14201.3871330466,-2.33875983807683,0.0195466575452321
"29","NeighborhoodSawyerW",-29064.2970916565,13838.7866743127,-2.10020558706964,0.035964045006092,13838.7866743127,-2.10020558706964,0.035964045006092
"30","NeighborhoodSomerst",-9216.28690618497,13191.5840411934,-0.698648992979559,0.484935999634278,13191.5840411934,-0.698648992979559,0.484935999634278
"31","NeighborhoodStoneBr",69874.3176088835,15010.8583926592,4.65491817863357,3.68325545125177e-06,15010.8583926592,4.65491817863357,3.68325545125177e-06
"32","NeighborhoodSWISU",-37888.7072049008,17368.7508442909,-2.18142959989289,0.0293870186082757,17368.7508442909,-2.18142959989289,0.0293870186082757
"33","NeighborhoodTimber",-856.244851974576,14705.4859659856,-0.058226219382012,0.953580221926068,14705.4859659856,-0.058226219382012,0.953580221926068
"34","NeighborhoodVeenker",17333.9800662876,17832.6578683177,0.972035699573642,0.331270939408544,17832.6578683177,0.972035699573642,0.331270939408544
